"To leave something behind"       → "abandon"
"The skill to do something"       → "ability"
"The state of being away"         → "absence"
"A place of learning"             → "academy"
"A record of financial activity"  → "account"
"To successfully reach a goal"    → "achieve"
"To gain possession"              → "acquire"
"A location or place"             → "address"
"To move forward"                 → "advance"
"Guidance or suggestion"          → "advice"
"A place for airplanes"           → "airport"
"Very old in history"             → "ancient"
"To examine closely"              → "analyze"
"To officially accept"            → "approve"
"To put in order"                 → "arrange"
"The act of reaching a place"     → "arrival"
"Made by humans"                  → "artificial"
"Someone who helps"               → "assistant"
"An effort to do something"       → "attempt"
"A state of stability"            → "balance"
"A device that stores power"      → "battery"
"The way someone acts"            → "behavior"
"An advantage"                    → "benefit"
"A two-wheeled vehicle"           → "bicycle"
"A dividing line"                 → "boundary"
"A structure with walls"          → "building"
"An organized effort"             → "campaign"
"The ability to hold"             → "capacity"
"A city of government"            → "capital"
"To take control"                 → "capture"
"A group or class"                → "category"
"To honor an event"               → "celebrate"
"A formal occasion"               → "ceremony"
"A difficult task"                → "challenge"
"Related to chemistry"            → "chemical"
"A member of a country"           → "citizen"
"An advanced society"             → "civilization"
"Weather patterns"                → "climate"
"A sudden failure"                → "collapse"
"To gather together"              → "collect"
"To mix or unite"                 → "combine"
"A feeling of ease"               → "comfort"
"To give orders"                  → "command"
"Trade activities"                → "exchange"
"A decision-making group"         → "committee"
"A group of people"               → "community"
"A business organization"         → "company"
"To examine similarities"         → "compare"
"To compete with others"          → "compete"
"To finish fully"                 → "complete"
"An electronic computing device"  → "computer"
"An idea or thought"              → "concept"
"A worry or interest"             → "concern"
"To verify something"             → "confirm"
"To link together"                → "connect"
"Unchanging over time"            → "constant"
"To build something"              → "construct"
"To use resources"                → "consume"
"Communication with others"       → "contact"
"Surrounding circumstances"       → "context"
"To manage power"                 → "control"
"To change form"                  → "convert"
"To persuade"                     → "convince"
"Original thinking"               → "creative"
"Shared traditions"               → "culture"
"A form of money"                 → "currency"
"A choice made"                   → "decision"
"To become smaller"               → "decline"
"Protection against attack"       → "defense"
"To transport something"          → "deliver"
"Rule by the people"              → "democracy"
"To explain in words"             → "describe"
"To plan"                         → "design"
"To grow or improve"              → "develop"
"A way things are not the same"   → "difference"
"Related to computers"            → "digital"
"A path or course"                → "direction"
"To find something new"           → "discover"
"The space between"               → "distance"
"A specific area"                 → "district"
"A written record"                → "document"
"Related to home affairs"         → "domestic"
"A system of money"               → "economy"
"The process of learning"         → "education"
"Producing desired results"       → "effective"
"Working well"                    → "efficient"
"Powered by electricity"          → "electric"
"A serious situation"             → "emergency"
"A worker"                        → "employee"
"A technical professional"        → "engineer"
"Natural surroundings"            → "environment"
"Tools or machinery"              → "equipment"
"Very important"                  → "essential"
"To calculate roughly"            → "estimate"
"To judge something"              → "evaluate"
"Proof or facts"                  → "evidence"
"Physical activity"               → "exercise"
"Knowledge gained"                → "experience"
"A scientific test"               → "experiment"
"A building or service"           → "facility"
"A special part"                  → "feature"
"Response to information"         → "feedback"
"A celebration"                   → "festival"
"Money management"                → "finance"
"The base of something"           → "foundation"
"Liberty"                         → "freedom"
"A purpose"                       → "function"
"To create"                       → "generate"
"A governing body"                → "government"
"Someone who completed studies"   → "graduate"
"Visual designs"                  → "graphics"
"A promise"                       → "guarantee"
"Direction or advice"             → "guidance"
"Computer components"             → "hardware"
"Cultural inheritance"            → "heritage"
"Past events"                     → "history"
"A medical facility"              → "hospital"
"Who someone is"                  → "identity"
"To form a picture in mind"       → "imagine"
"To put into action"              → "implement"
"To make better"                  → "improve"
"Business activity"               → "industry"
"Power to affect"                 → "influence"
"To tell information"             → "inform"
"The first step"                  → "initial"
"New ideas"                       → "innovation"
"A question or investigation"     → "inquiry"
"Protection coverage"             → "insurance"
"To combine systems"              → "integrate"
"Ability to think"                → "intelligence"
"Curiosity or concern"            → "interest"
"A global network"                → "internet"
"A formal conversation            → "interview"
"To examine deeply"               → "investigate"
"The act of putting money"        → "investment"
"Understanding gained"            → "knowledge"
"A system of words"               → "language"
"The process of study"            → "learning"
"A place with books"              → "library"
"A position"                      → "location"
"A mechanical device"             → "machine"
"The act of managing"             → "management"
"Selling activities"              → "marketing"
"Substance used"                  → "material"
"Medical treatment"               → "medicine"
"The ability to remember"         → "memory"
"Information sent"                → "message"
"To observe"                      → "monitor"
"Motion or change"                → "movement"
"Connected systems"               → "network"
"Food science"                    → "nutrition"
"A goal"                          → "objective"
"The act of working"              → "operation"
"A chance"                        → "opportunity"
"A structured group"              → "organization"
"How well something works"        → "performance"
"Study of thought"                → "philosophy"
"Relating to the body"            → "physical"
"A base for software              → "platform"
"Government activity"             → "politics"
"People in an area"               → "population"
"A role or job"                   → "position"
"Hidden ability"                  → "potential"
"Repeated activity"               → "practice"
"To forecast"                     → "predict"
"Force applied"                   → "pressure"
"Level of import"                 → "priority"
"A series of steps"               → "procedure"
"A method"                        → "process"
"An item for sale"                → "product"
"A career"                        → "profession"
"Forward movement"                → "progress"
"Ownership"                       → "property"
"Safety"                          → "protection"
"The study of the mind"           → "psychology"
"Standard of excellence"          → "quality"
"Response to action"              → "reaction"
"Systematic study"                → "research"
"A supply source"                 → "resource"
